edition,family,group,name,ko,state,source_high_over_low_width,source_high_over_low_height,target_high_over_low_width,target_high_over_low_height,source_scale_deviation,target_scale_deviation,source_scale_outlier_5pct,target_scale_outlier_5pct
base,base_detail,41,magistrate,대관,2,2.0,2.0,2.055556,2.051948,0.0,0.027778,False,False
base,base_detail,41,magistrate,대관,3,2.0,2.0,2.041667,2.051948,0.0,0.025974,False,False
base,base_detail,41,magistrate,대관,4,2.0,2.0,2.041096,2.038961,0.0,0.020548,False,False
base,base_detail,41,magistrate,대관,5,2.0,2.0,2.055556,2.051948,0.0,0.027778,False,False
base,base_detail,41,magistrate,대관,6,2.0,2.0,2.027397,2.065789,0.0,0.032895,False,False
base,base_detail,42,sortie,출진,1,2.0,2.0,1.986111,2.013514,0.0,0.006945,False,False
base,base_detail,42,sortie,출진,2,2.0,2.0,2.0,2.040541,0.0,0.020271,False,False
base,base_detail,42,sortie,출진,3,2.0,2.0,2.041667,2.013333,0.0,0.020833,False,False
base,base_detail,42,sortie,출진,4,2.0,2.0,2.041667,2.040541,0.0,0.020833,False,False
base,base_detail,42,sortie,출진,5,2.0,2.0,1.986301,2.054054,0.0,0.027027,False,False
base,base_detail,42,sortie,출진,6,2.0,2.0,2.056338,2.027027,0.0,0.028169,False,False
base,base_detail,43,capture_target,공략목표,1,2.010638,2.0,2.075,2.051948,0.005319,0.0375,False,False
base,base_detail,43,capture_target,공략목표,2,2.010638,2.0,2.060241,2.051282,0.005319,0.03012,False,False
base,base_detail,43,capture_target,공략목표,3,2.010638,2.0,2.073171,2.051282,0.005319,0.036585,False,False
base,base_detail,43,capture_target,공략목표,4,2.010638,2.0,2.075,1.974026,0.005319,0.0375,False,False
base,base_detail,43,capture_target,공략목표,5,2.010638,2.0,2.085366,2.077922,0.005319,0.042683,False,False
base,base_detail,43,capture_target,공략목표,6,2.010638,2.0,2.074074,1.987013,0.005319,0.037037,False,False
base,base_detail,44,scheme,조략,1,2.0,2.0,2.028169,2.052632,0.0,0.026316,False,False
base,base_detail,44,scheme,조략,2,2.0,2.0,2.028169,2.051948,0.0,0.025974,False,False
base,base_detail,44,scheme,조략,3,2.0,2.0,2.057143,2.051948,0.0,0.028571,False,False
base,base_detail,44,scheme,조략,4,2.0,2.0,2.014286,2.052632,0.0,0.026316,False,False
